carriers,locs,techs,timesteps,capacity_factor
power,AA,CCGT_pp,2019-01-08 15:00:00,0.6288452935325581
power,AA,CCGT_pp,2019-01-08 16:00:00,0.6350866573662791
power,AA,CCGT_pp,2019-01-08 17:00:00,0.7851381308976744
power,AA,CCGT_pp,2019-01-08 18:00:00,0.9823803929406977
power,AA,CCGT_pp,2019-01-08 19:00:00,1.0
power,AA,CCGT_pp,2019-01-08 20:00:00,1.0
power,AA,CCGT_pp,2019-01-08 21:00:00,0.499029349755814
power,AA,CCGT_pp,2019-01-08 22:00:00,0.7158105102709302
power,AA,CCGT_pp,2019-01-08 23:00:00,0.6574111863744186
power,AA,CCGT_pp,2019-01-09 00:00:00,0.5652059915418605
power,AA,CCGT_pp,2019-01-09 01:00:00,0.4975016624337209
power,AA,CCGT_pp,2019-01-09 02:00:00,0.44750461926744184
power,AA,CCGT_pp,2019-01-09 03:00:00,0.4317648093616279
power,AA,CCGT_pp,2019-01-09 04:00:00,0.47296607640000005
power,AA,CCGT_pp,2019-01-09 05:00:00,0.5319903633813954
power,AA,CCGT_pp,2019-01-09 06:00:00,0.3254417652372093
power,AA,CCGT_pp,2019-01-09 07:00:00,0.32549502670465114
power,AA,CCGT_pp,2019-01-09 08:00:00,0.35463305632325576
power,AA,CCGT_pp,2019-01-09 09:00:00,0.3923926559325582
power,AA,CCGT_pp,2019-01-09 10:00:00,0.4693896184
power,AA,CCGT_pp,2019-01-09 11:00:00,0.46310361987906973
power,AA,CCGT_pp,2019-01-09 12:00:00,0.5723743531732558
power,AA,CCGT_pp,2019-01-09 13:00:00,0.615203028072093
power,AA,CCGT_pp,2019-01-09 14:00:00,0.6925784511034884
power,AA,CCGT_pp,2019-01-09 15:00:00,0.6924380344523257
power,AA,CCGT_pp,2019-01-09 16:00:00,0.6451560939267441
power,AA,CCGT_pp,2019-01-09 17:00:00,0.7423929825081396
power,AA,CCGT_pp,2019-01-09 18:00:00,1.0
power,AA,CCGT_pp,2019-01-09 19:00:00,1.0
power,AA,CCGT_pp,2019-01-09 20:00:00,1.0
power,AA,CCGT_pp,2019-01-09 21:00:00,1.0
power,AA,CCGT_pp,2019-01-09 22:00:00,0.9209719874918605
power,AA,CCGT_pp,2019-01-09 23:00:00,0.8279219351267442
power,AA,CCGT_pp,2019-01-10 00:00:00,0.822042653144186
power,AA,CCGT_pp,2019-01-10 01:00:00,0.7673931072197675
power,AA,CCGT_pp,2019-01-10 02:00:00,0.7744413022604651
power,AA,CCGT_pp,2019-01-10 03:00:00,0.6909855896011629
power,AA,CCGT_pp,2019-01-10 04:00:00,0.7536786410023255
power,AA,CCGT_pp,2019-01-10 05:00:00,0.7325109114802326
power,AA,CCGT_pp,2019-01-10 06:00:00,0.6116466814651164
power,AA,CCGT_pp,2019-01-10 07:00:00,0.5989989286976743
power,AA,CCGT_pp,2019-01-10 08:00:00,0.6562864000732558
power,AA,CCGT_pp,2019-01-10 09:00:00,0.6351102832023257
power,AA,CCGT_pp,2019-01-10 10:00:00,0.6633602878302325
power,AA,CCGT_pp,2019-01-10 11:00:00,0.7049062151476744
power,AA,CCGT_pp,2019-01-10 12:00:00,0.7172445867593024
power,AA,CCGT_pp,2019-01-10 13:00:00,0.7802692645046512
power,AA,CCGT_pp,2019-01-10 14:00:00,0.8036797017267442
power,AA,CCGT_pp,2019-01-10 15:00:00,0.8542907261279069
power,AA,CCGT_pp,2019-01-10 16:00:00,0.8203830212825581
power,AA,CCGT_pp,2019-01-10 17:00:00,0.7816103806534883
power,AA,CCGT_pp,2019-01-10 18:00:00,1.0
power,AA,CCGT_pp,2019-01-10 19:00:00,1.0
power,AA,CCGT_pp,2019-01-10 20:00:00,1.0
power,AA,CCGT_pp,2019-01-10 21:00:00,1.0
power,AA,CCGT_pp,2019-01-10 22:00:00,1.0
power,AA,CCGT_pp,2019-01-10 23:00:00,0.939292663977907
power,AA,CCGT_pp,2019-01-11 00:00:00,0.844159400738372
power,AA,CCGT_pp,2019-01-11 01:00:00,0.8802683763348838
power,AA,CCGT_pp,2019-01-11 02:00:00,0.8130269832290699
power,AA,CCGT_pp,2019-01-11 03:00:00,0.7662704884872094
power,AA,CCGT_pp,2019-01-11 04:00:00,0.7865239212325582
power,AA,CCGT_pp,2019-01-11 05:00:00,0.8042312069755814
power,AA,CCGT_pp,2019-01-11 06:00:00,0.6137953373581396
power,AA,CCGT_pp,2019-01-11 07:00:00,0.6813425418430232
power,AA,CCGT_pp,2019-01-11 08:00:00,0.6923770732267441
power,AA,CCGT_pp,2019-01-11 09:00:00,0.746089780233721
power,AA,CCGT_pp,2019-01-11 10:00:00,0.7634422714325582
power,AA,CCGT_pp,2019-01-11 11:00:00,0.7941506859232558
power,AA,CCGT_pp,2019-01-11 12:00:00,0.7227011653127907
power,AA,CCGT_pp,2019-01-11 13:00:00,0.8353894785325582
power,AA,CCGT_pp,2019-01-11 14:00:00,0.8243507670162791
power,AA,CCGT_pp,2019-01-11 15:00:00,0.805885761594186
power,AA,CCGT_pp,2019-01-11 16:00:00,0.818324703333721
power,AA,CCGT_pp,2019-01-11 17:00:00,0.8496540878139535
power,AA,CCGT_pp,2019-01-11 18:00:00,1.0
power,AA,CCGT_pp,2019-01-11 19:00:00,1.0
power,AA,CCGT_pp,2019-01-11 20:00:00,1.0
power,AA,CCGT_pp,2019-01-11 21:00:00,1.0
power,AA,CCGT_pp,2019-01-11 22:00:00,1.0
power,AA,CCGT_pp,2019-01-11 23:00:00,1.0
power,AA,CCGT_pp,2019-01-12 00:00:00,0.8134320520837209
power,AA,CCGT_pp,2019-01-12 01:00:00,0.8153879541255814
power,AA,CCGT_pp,2019-01-12 02:00:00,0.7901232442906977
power,AA,CCGT_pp,2019-01-12 03:00:00,0.7831792109755814
power,AA,CCGT_pp,2019-01-12 04:00:00,0.8061408159906978
power,AA,CCGT_pp,2019-01-12 05:00:00,0.7349413232372094
power,AA,CCGT_pp,2019-01-12 06:00:00,0.5276226096034884
power,AA,CCGT_pp,2019-01-12 07:00:00,0.5231247806674418
power,AA,CCGT_pp,2019-01-12 08:00:00,0.6215880428639534
power,AA,CCGT_pp,2019-01-12 09:00:00,0.5815342747767441
power,AA,CCGT_pp,2019-01-12 10:00:00,0.5881929816313953
power,AA,CCGT_pp,2019-01-12 11:00:00,0.6033093034965116
power,AA,CCGT_pp,2019-01-12 12:00:00,0.672356891244186
power,AA,CCGT_pp,2019-01-12 13:00:00,0.7097151600813953
power,AA,CCGT_pp,2019-01-12 14:00:00,0.7182479092348837
power,AA,CCGT_pp,2019-01-12 15:00:00,0.7112679227767442
power,AA,CCGT_pp,2019-01-12 16:00:00,0.7125492137197674
