locs,techs,timesteps,resource
AH,demand_power,2019-01-03 17:00:00,-330493.4124
AH,demand_power,2019-01-03 18:00:00,-350739.7837
AH,demand_power,2019-01-03 19:00:00,-364807.6154
AH,demand_power,2019-01-03 20:00:00,-365855.3773
AH,demand_power,2019-01-03 21:00:00,-354439.508
AH,demand_power,2019-01-03 22:00:00,-335563.5146
AH,demand_power,2019-01-03 23:00:00,-331018.7732
AH,demand_power,2019-01-04 00:00:00,-315263.8673
AH,demand_power,2019-01-04 01:00:00,-300143.834
AH,demand_power,2019-01-04 02:00:00,-296781.5245
AH,demand_power,2019-01-04 03:00:00,-296256.1637
AH,demand_power,2019-01-04 04:00:00,-294755.5555
AH,demand_power,2019-01-04 05:00:00,-292901.2537
AH,demand_power,2019-01-04 06:00:00,-272700.75899999996
AH,demand_power,2019-01-04 07:00:00,-283175.4184
AH,demand_power,2019-01-04 08:00:00,-286667.9582
AH,demand_power,2019-01-04 09:00:00,-290407.6395
AH,demand_power,2019-01-04 10:00:00,-302755.8393
AH,demand_power,2019-01-04 11:00:00,-303372.9533
AH,demand_power,2019-01-04 12:00:00,-295979.4243
AH,demand_power,2019-01-04 13:00:00,-304243.1285
AH,demand_power,2019-01-04 14:00:00,-312061.3859
AH,demand_power,2019-01-04 15:00:00,-312351.4443
AH,demand_power,2019-01-04 16:00:00,-311524.1859
AH,demand_power,2019-01-04 17:00:00,-318504.8258
AH,demand_power,2019-01-04 18:00:00,-345946.4209
AH,demand_power,2019-01-04 19:00:00,-369088.9363
AH,demand_power,2019-01-04 20:00:00,-367480.2962
AH,demand_power,2019-01-04 21:00:00,-363802.7703
AH,demand_power,2019-01-04 22:00:00,-350451.2052
AH,demand_power,2019-01-04 23:00:00,-331159.3628
AH,demand_power,2019-01-05 00:00:00,-322043.2421
AH,demand_power,2019-01-05 01:00:00,-311553.7837
AH,demand_power,2019-01-05 02:00:00,-297326.1239
AH,demand_power,2019-01-05 03:00:00,-294502.4944
AH,demand_power,2019-01-05 04:00:00,-287705.3609
AH,demand_power,2019-01-05 05:00:00,-291988.1617
AH,demand_power,2019-01-05 06:00:00,-261370.7233
AH,demand_power,2019-01-05 07:00:00,-254788.1738
AH,demand_power,2019-01-05 08:00:00,-257984.7356
