,UE,UW,NP,BA,AH,WP,CP,EP,AA,TV
136,-19993.39753,-11673.45143,-70623.72919,-72546.50865,-281343.3149,-231007.7158,-105026.7669,-127629.5551,-934080.1105,-47185.44988
137,-20288.91671,-11845.99483,-71667.60713,-73618.80688,-285501.8051,-234422.2036,-106579.1506,-129516.027,-947886.5978,-47882.8904
138,-20535.63842,-11990.04708,-72539.11519,-74514.04235,-288973.6264,-237272.8755,-107875.1976,-131090.996,-959413.2951,-48465.16636
139,-22933.55047,-13390.10476,-81009.38597,-83214.92206,-322716.5919,-264978.8312,-120471.6035,-146398.2717,-1071442.376,-54124.36253
140,-24719.70626,-14432.97918,-87318.71798,-89696.02996,-347851.0389,-285616.4326,-129854.4094,-157800.3492,-1154890.554,-58339.78237
141,-25268.67784,-14753.50465,-89257.87913,-91687.9861,-355576.0633,-291959.36,-132738.1969,-161304.756,-1180538.193,-59635.38361
142,-24415.77372,-14255.52351,-86245.12109,-88593.20366,-343574.1576,-282104.7352,-128257.8297,-155860.17,-1140691,-57622.48589
143,-22786.00121,-13303.95587,-80488.18998,-82679.53615,-320640.3066,-263274.0175,-119696.5166,-145456.3784,-1064548.959,-53776.13867
144,-21826.87846,-12743.95735,-77100.23026,-79199.3369,-307143.7124,-252192.1213,-114658.1752,-139333.7367,-1019739.292,-51512.55948
145,-19714.5999,-11510.67116,-69638.91765,-71534.88494,-277420.1273,-227786.4322,-103562.2228,-125849.8267,-921054.8444,-46527.47308
146,-20703.69524,-12088.16962,-73132.75111,-75123.84042,-291338.4901,-239214.6376,-108758.0123,-132163.801,-967264.8135,-48861.78912
147,-20020.00478,-11688.98647,-70717.71535,-72643.05365,-281717.727,-231315.1412,-105166.5367,-127799.4047,-935323.1857,-47248.24435
148,-19690.096,-11496.36418,-69552.36122,-71445.97196,-277075.313,-227503.3092,-103433.502,-125693.4039,-919910.036,-46469.6426
149,-19604.17458,-11446.19765,-69248.8565,-71134.20411,-275866.2431,-226510.556,-102982.1506,-125144.9173,-915895.8367,-46266.86363
150,-20011.38109,-11683.9514,-70687.25343,-72611.76239,-281596.3761,-231215.5014,-105121.2358,-127744.3546,-934920.2918,-47227.89199
151,-18710.15018,-10924.20781,-66090.84712,-67890.21575,-263285.7006,-216180.8192,-98285.77557,-119437.8364,-874127.5275,-44156.91992
152,-18016.04819,-10518.94573,-63639.03416,-65371.65051,-253518.4284,-208161.0259,-94639.60748,-115006.9773,-841699.479,-42518.8034
153,-18487.40655,-10794.15552,-65304.03805,-67081.98527,-260151.2941,-213607.1946,-97115.68708,-118015.9334,-863721.0719,-43631.23344
154,-18279.38628,-10672.6997,-64569.23714,-66327.1789,-257224.0723,-211203.6868,-96022.94155,-116688.0184,-854002.4841,-43140.29488
155,-18814.68615,-10985.24273,-66460.10501,-68269.52694,-264756.7109,-217388.6486,-98834.91058,-120105.1507,-879011.3881,-44403.6302
156,-19353.77203,-11299.99628,-68364.3464,-70225.61262,-272342.6257,-223617.3548,-101666.7678,-123546.4513,-904197.1725,-45675.90069
157,-18710.25535,-10924.26921,-66091.2186,-67890.59736,-263287.1804,-216182.0343,-98286.32802,-119438.5078,-874132.4408,-44157.16812
158,-19347.25168,-11296.18927,-68341.31422,-70201.95337,-272250.8725,-223542.0173,-101632.5159,-123504.828,-903892.5454,-45660.51232
159,-19188.44956,-11203.47022,-67780.36913,-69625.73617,-270016.239,-221707.1858,-100798.3169,-122491.1012,-896473.4009,-45285.73112
160,-18963.60258,-11072.18987,-66986.13033,-68809.87367,-266852.2348,-219109.2588,-99617.17937,-121055.7714,-885968.6786,-44755.08065
161,-19980.04133,-11665.6532,-70576.55036,-72498.04535,-281155.369,-230853.3955,-104956.6058,-127544.2946,-933456.1163,-47153.92855
162,-21067.78328,-12300.74801,-74418.83845,-76444.94237,-296461.8683,-243421.3837,-110670.5932,-134487.988,-984274.7989,-49721.05569
163,-24134.87275,-14091.51518,-85252.87982,-87573.94794,-339621.3722,-278859.1492,-126782.2365,-154067.0147,-1127567.467,-56959.5451
164,-25048.56337,-14624.98744,-88480.35724,-90889.29564,-352478.6541,-289416.1134,-131581.9196,-159899.6366,-1170254.57,-59115.90212
165,-25008.38959,-14601.53136,-88338.44927,-90743.52414,-351913.3362,-288951.9375,-131370.8838,-159643.1838,-1168377.674,-59021.08992
166,-22893.06119,-13366.46447,-80866.36355,-83068.00576,-322146.8344,-264511.0099,-120258.9104,-146139.8049,-1069550.74,-54028.80573
167,-21785.96851,-12720.07145,-76955.72189,-79050.89419,-306568.0353,-251719.4396,-114443.2723,-139072.5845,-1017828.002,-51416.00989
168,-21381.28602,-12483.79138,-75526.24064,-77582.49433,-300873.4196,-247043.6571,-112317.4458,-136489.2594,-998921.4675,-50460.93832
169,-20403.65388,-11912.98588,-72072.89924,-74035.13335,-287116.3648,-235747.8997,-107181.8733,-130248.4614,-953247.0525,-48153.67602
170,-20098.66967,-11734.91618,-70995.58749,-72928.49104,-282824.6846,-232224.0511,-105579.7691,-128301.5687,-938998.3645,-47433.89755
171,-19619.52896,-11455.16253,-69303.09357,-71189.91782,-276082.307,-226687.9635,-103062.8082,-125242.9332,-916613.1844,-46303.10076
172,-19612.37761,-11450.98711,-69277.83247,-71163.96897,-275981.6745,-226605.3353,-103025.2416,-125197.282,-916279.0772,-46286.22319
173,-19733.52995,-11521.72376,-69705.78528,-71603.57309,-277686.5074,-228005.1538,-103661.6637,-125970.6683,-921939.2457,-46572.14899
174,-20263.36114,-11831.07382,-71577.33583,-73526.07789,-285142.1919,-234126.9294,-106444.9053,-129352.8908,-946692.6561,-47822.57793
175,-19105.15732,-11154.83877,-67486.15158,-69323.50834,-268844.1664,-220744.8106,-100360.7767,-121959.3981,-892582.0351,-45089.15714
176,-19110.10017,-11157.72473,-67503.61146,-69341.44358,-268913.7212,-220801.9213,-100386.7418,-121990.9512,-892812.9621,-45100.82251
177,-19365.55073,-11306.87346,-68405.95293,-70268.35191,-272508.3733,-223753.4482,-101728.6422,-123621.6416,-904747.4666,-45703.69903
178,-19577.88284,-11430.84681,-69155.9848,-71038.80391,-275496.2707,-226206.7759,-102844.0381,-124977.0817,-914667.5015,-46204.81377
